artist,song,link,text
Cake,Jesus Wrote A Blank Check,/c/cake/jesus+wrote+a+blank+check_20026665.html,"  
  
  
  
Jesus wrote a blank check  
  
One I haven't cashed quite yet.  
  
I hope I've got a little more time.  
  
I hope it's not the end of the line.  
  
Yeah Jesus wrote a blank check.  
  
One I haven't cashed yet all right.  
  
But if I had to choose a number  
  
I'd want it to be number one.  
  
I don't want to be number two.  
  
Yeah I don't want to be number four.  
  
But I can hear a knock on the door.  
  
Jesus wrote a blank check, all right.  
  
If Jesus saw me dying,  
  
Would angels come a flying down?  
  
I hope I've got a little more time.  
  
I hope somebody lends me a dime.  
  
Now, Jesus wrote a blank check.  
  
Ah, one I haven't cashed yet.  
  
Still I build my towers high.  
  
I watch them pierce the blue, blue sky.  
  
Still I wallow in the mire.  
  
Still I burn this earthen fire.  
  
Still I build my towers high.  
  
I watch them pierce the blue, blue sky.  
  
Still I wallow in the mire.  
  
Still I burn this earthen fire.  
  
Still I burn this earthen fire.  
  
Still I burn this earthen fire.  
  
Still I burn this earthen fire.  
  
Still I burn this earthen fire.  
  
Still I burn this earthen fire.  
  
Still I burn this earthen fire.  
  
Still I burn this earthen fire.  
  
  

"
Vonda Shepard,I Shy Away,/v/vonda+shepard/i+shy+away_20144805.html,"  
  
  
  
Since I met you, I've missed you all my life  
  
What I don't know won't hurt me baby  
  
Since I've known you, I can recall the old times  
  
  
Wasn't that your face in my old photographs  
  
Didn't we laugh and talk for hours baby  
  
Really want to see you but baby  
  
  
(Chorus)  
  
  
I shy away from your love  
  
Don't you know what I'm going through  
  
I shy away from your love  
  
I should be loving you but I just shy away  
  
  
I don't ask you about the girls in your life  
  
'Cause what I don't know might hurt me baby  
  
I don't question when something feels right  
  
  
Always waiting for the right one  
  
You say I should take my chances darlin'  
  
I could fall in live with you but baby  
  
  
(Chorus)  
  
  
I shy away from your love  
  
Don't you know what I'm going through  
  
I shy away from your love  
  
I should be loving you...  
  
  
(Bridge)  
  
I really want to share the love  
  
Share the love to share to love  
  
I really want to share the love  
  
Share the love to share the love  
  
Share the love  
  
  
Always waiting for the right one  
  
You say I should take my chances darlin'  
  
I could really fall in love with you but baby  
  
  
(Chorus)  
  
  
I shy away from your love  
  
Don't you know what I'm going through  
  
(I don't you know what I'm going through)  
  
Baby I shy away from your love  
  
I should be loving you but I just shy away  
  
  
(Chorus)  
  

"
Barbra Streisand,Circle,/b/barbra+streisand/circle_20012768.html,"  
  
  
  
Some say  
  
the walls betweeen us stand so tall  
  
they don't see there's just one sun  
  
shining on us all  
  
I say  
  
we each choose roads to call our own  
  
but none of us is travelling through  
  
this universe alone  
  
and this circle  
  
just goes on and on  
  
it began before us  
  
it will be here when we've gone  
  
and this circle  
  
just goes on and on and on  
  
connecting our humanity  
  
joining me to you and you to me  
  
seasons  
  
keep spinning on the wheel of time  
  
we stand we fall  
  
we struggle up  
  
the mountains we must climb  
  
different dreams  
  
may colour what we see ahead  
  
but our lives are strong together  
  
on a common thread  
  
and this circle (circle)  
  
just goes on and on (on and on)  
  
it began before us  
  
it will be here when we've gone  
  
and this circle  
  
just goes on and on and on  
  
connecting our humanity  
  
joining me to you and you to me  
  
around and round and round and round we go  
  
around and round and round we go  
  
love and learn and change and grow  
  
round and round and round we go  
  
and this circle  
  
touches everyone  
  
as it crosses every boundary  
  
underneath the sun  
  
and this circle  
  
just goes on and on  
  
it began before us  
  
it will be here when we're gone  
  
yes this circle  
  
just goes on and on and on  
  
someday we will come to see  
  
I'm joined to you and you to me  
  

"
Westlife,Until The End Of Time,/w/westlife/until+the+end+of+time_20145939.html,"  
  
  
  
Until the end of time  
  
I'm longing for you  
  
And if you feel the same  
  
Then show me your love  
  
I'll give you everything that money can't buy  
  
And I'll promise I'll be right by you side  
  
  
I imagine being wrapped up in your  
  
And feeling your heartbeat  
  
And I find myself longing to hold you close  
  
It's how I feel  
  
'Cause I've been through a lot of these years  
  
And I have lost the count of my tears  
  
  
(CHORUS)  
  
Until the end of time  
  
I'm longing for you  
  
And if you feel the same  
  
Then show me your love  
  
I'll give you everything that money can't buy..(can't buy)  
  
And I'll promise I'll be right by you side..(til the end of time)  
  
  
If only you could tell me what's on your mind  
  
And show how you feel  
  
And I wonder where you are heading this time  
  
And where you belong  
  
'Cause I know that if you would be here  
  
I'll do anything 'cause my love is real  
  
Even though moments are sad  
  
I look into your eyes and  
  
I know this will last  
  
CHORUS x2  
  
Things that money can't buy x3  
  

"
Wyclef Jean,Yele,/w/wyclef+jean/yele_20147562.html,"  
  
  
  
Wyclef (echo):  
  
Yo, yo, I want to give a shout-out  
  
to the world.  
  
This is Wyclef, cold-chillin'  
  
out here with my pina-colada.  
  
Yeah, baby.  
  
I'm in the islands, cold relaxin'.  
  
Right about now the carnival's  
  
gonna change phases.  
  
If you got your ticket, man,  
  
you're allowed to come with me.  
  
Yo, for right now I'm gonna  
  
chill in the beach,  
  
check out the pretty girls  
  
layin' back.  
  
You know how we do, playa yo.  
  
I'm out here in the sun, baby,  
  
it's all good!  
  

"
Wyclef Jean,Words Of Wisdom (Interlude),/w/wyclef+jean/words+of+wisdom+interlude_20460564.html,"  
  
  
  
Wyclef:  
  
Hello, boys and girls.  
  
Welcome, to Wyclef Words of Wisdom.  
  
Have you ever been sitting in your  
  
house at two o'clock in the morning  
  
and you get a mysterious phone  
  
call from a girl that you don't know? (A female begins talking sexy)  
  
Now, hold on, think with your mind  
  
and not with your pistol.  
  
Cause if you invite her over  
  
this is what might happen:  
  
  
Rape! Rape!  
  
Rape! Rape!  
  
Rape! Rape! (What the... Yo, yo, yo...shit!)  
  
Rape! Rape!  
  
Rape! Rape!  
  
Rape! Rape!  
  
  
Cop: Freeze! Put your hands in the air!  
  
Wyclef: Officer, you don't understand.  
  
She called me. I was sleeping.  
  
I was minding my business.  
  
Cop: I don't give a flying fuck  
  
about two bits about a piss.  
  
You're fuckin' guilty. (Yes, yes)  
  
Wyclef: Nobody's protected.  
  

"
Vonda Shepard,Cross To Bear,/v/vonda+shepard/cross+to+bear_20144724.html,"  
  
  
  
You ran away with your conscience dear  
  
There was a red flag waving in my ear saying  
  
""Stay away, you've got something to fear""  
  
Well why did I not choose to hear?  
  
Well I am through with suffering  
  
Gonna make better choices I don't need no wedding ring  
  
I can sing, I can dance  
  
But I can't make thus feeling cease  
  
Cause deep in my soul you left a permanent crease and  
  
  
We all got our cross to bear  
  
Our Star of David, our dreadlocked hair  
  
And oh yeah baby, I still care  
  
And if you need some help  
  
You know I'll always be there  
  
  
Well it's been a strange year  
  
You've been a very bad dog  
  
As my fire went out  
  
You'd put on another log  
  
But it was worth never having any peace  
  
And deep in my soul you left a permanent crease and  
  
  
Repeat chorus  
  
  
Some nights I thought I'd cry forever  
  
I'd wish him away and then I'd turn into a beggar  
  
But it was worth always scraping my knees  
  
And deep in my soul you left a permanent crease  
  
  
I wear my heart like a wrinkle on my sleeve  
  
  
And I've got the aching love that only you can relieve  
  
But I'm not afraid to go down with a sinking friend  
  
I'm gonna live out my dreams even if they kill me in the end  
  
  
Repeat chorus  
  

"
Westlife,Don't Calm The Storm,/w/westlife/dont+calm+the+storm_20145926.html,"  
  
  
  
You say you need some time on your own  
  
You say we should put our love on hold  
  
But, baby, don't leave me now all alone in the cold  
  
You said you believed in us  
  
But now your walking away from me  
  
  
Chorus: Don't calm the storm..(keep a walking baby)  
  
Just walk out that door  
  
Or you'll stay a while..(but you stayed a while)  
  
And we'll make it right  
  
Don't be afraid  
  
I know how to ease my pain  
  
  
I know there were things I said that were wrong  
  
... Girl, I always knew where my heart belonged  
  
If you want me to walk away I will, but it hurts me so  
  
Oh baby, open your eyes  
  
open you're ever Hear me now  
  
heam me now It doesn't have to be this way  
  
CHORUS x2  
  
  

"
Alice In Chains,Nothin' Song,/a/alice+in+chains/nothin+song_20005858.html,"  
  
  
Began this take at 7:38  
Head hit the board, enough that it aches  
Wonder should I be working so late  
Began this take at 7:38  
Head hit the board, enough that it aches  
Wonder should I be working so late  
Wonder should I be working so late  
Began this take at 7:38  
Head hit the board, enough that it aches  
Wonder should I be working so late  
Wonder should I be working so late  
Well the nothin song sticks to your mouth  
Like peanut butter on the brain (2x)  
Nothin ever stays the same  
Nothin, yeah nothin, nothin, nothin  
Went outside to give all a break  
Wearing cowhide, steak on a skate  
Back inside, Sam throw away your cake  
Went outside to give all a break  
Went outside to give all a break  
Wearing cowhide, steak on a skate  
Back inside, Sam throw away your cake  
Back inside, Sam throw away your cake  
Well the nothin song sticks to your mouth  
Like peanut butter on the brain (2x)  
Nothin ever stays the same  
Nothin, yeah nothin, nothin, nothin  
Gotta finish so I can awake  
Feed the cat as she spreads all the waste  
Snap her neck or trade in for new make  
Gotta finish so I can awake  
Feed the cat as she spreads all the waste  
Snap her neck or trade in for new make  
Snap her neck or trade in for new make  
Well the nothin song sticks to your mouth  
Like peanut butter on the brain (2x)  
Nothin ever stays the same  
Well the nothin song sticks to your mouth  
Nothin (5x)  
  

"
Alice In Chains,Killer Is Me,/a/alice+in+chains/killer+is+me_20005902.html,"  
  
  
Don't need a gun  
Pointed at me  
Don't need to run  
Killer is me  
Killer is me  
So the sun  
Shines upon me  
Having fun  
Killer is me  
Insane the mind  
In the name of me  
Can't find the time  
To let things be  
Insane the mind  
In the name of me  
Can't find the time  
To let things be  
Let things be  
Oh yeah  
Can I start over?  
Oh yeah  
Can I start over?  
And get over it  
So the sun  
Shines upon me  
Having fun  
Killer is me  
Killer is me  
Killer is me  
Oh yeah  
Can I start over?  
Oh yeah  
Can I start over?  
And get over it  
Let things be  
Jerry: ""Thank you!""  
""Thanks, that was really fun...""  
Layne: ""I wish I could just hug you all! But I'm not gonna...""  
  

"
Xzibit,Positively Negative,/x/xzibit/positively+negative_20148109.html,"  
  
  
featuring King Tee  
  
King Tee:  
Now let me introduce whose first  
The nigga that's been down  
with the set since birth  
Whatever it was worth  
I checked in on the norm  
Since a juvenile callin'  
Shots in the dorm  
Moms said you better get right  
Or shake the spot  
I chose to break and be a rollin' stone  
Like pop  
Stashin' the rocks by the gats  
With the Gs  
So I can talk crazy when the narks yell freeze!  
I don't fight the feelin'  
Gotta hustle with a passion  
Comin' cross state to put you down  
With some action  
In actuallity I keeps it real in the streets  
Remininsin' younger days  
Over gangsa ass beats  
And I,  
Hit the weed  
Til myeye balls bleed  
While my life is corrupted  
By lust and greed  
Serve you anything from cocaine  
Up to speed  
I came with the drank  
So here's five on the weed  
  
Xzibit:  
See kids don't belong  
Up in grown folks business  
The Likwit niggas rollin' through with a thickness  
Sickness bear witness  
Like tequlla without a chaser  
It burns going down  
Niggas guaranteed to drown  
Legendary sound  
From the west coast underground  
The mighty King Tee  
And Mr. X to the Z, see  
Never underestimate the power  
Of the X man  
Dismantle your plans  
Or just catch you with a back hand  
Xzbit bring it to you live  
With the know how  
Cool in a gang  
And ain't about to change  
My lifestyle  
Catchin' bodies in this uphill battle  
But Xzibit unravel  
Have smoke will travel  
I bust Teflon rhymes  
Into the crowd, bitch  
You anin't Steve Rif  
So stop trying to get Loud  
You need to pump your brakes to avoid the collision  
Xzibit still winnin'  
Unanimous decisions  
  
King Tee:  
It's going down  
Once again everybody lay down  
Run your money and the jewels  
To the front without a sound  
The infamous supreme King Tee  
Glad to meet ya  
Derranged in the mothafuckin' brain  
Through ya speaka and hey  
I walk around the hood lookin' looped  
Strapped like a mothafuckin'  
Desert strom troop  
Niggas be like ""King Tila  
How you get that Benz?""  
By sending birds to Oklahoma City  
To my friends  
I slang my gangsta funk  
Through the night  
Sometimes I fight  
Like I'm the ghost of Eric Wright  
Compton is where I dwell  
It's like hell  
Slangin' the shit that got the smokers  
In a spell  
And all my homies live lives  
Like crooks  
Rich and infamous  
Hoes want to look but get shook  
Cause we don't trust you hoes  
You'll have a nigga fucked up  
With a bullet through his clothes  
Positively nothings positive  
Negativity positively how we live  
Positively nothings positive  
Negativity positively how we live  
  
Xzibit:  
Ladies and gentlemen  
Undivided attention  
Xzibit get you open like Nicole Brown Simpson  
It's the...  
Most dangerous things next to grizzles  
Unsolved mysteries  
Xzibit hit you penetentary style  
Quick sharp and straight to the neck  
I'm heavy on your chest  
I'm all up in your life  
Like stress  
The coast that resides to your left  
Whre niggas perpitrate  
And catch a fate worse than death  
And like Cyanide I'm hard to detect  
Got more desighns and stragiht lines  
Than an architect  
King Tee chapter four  
Verse seven reads  
Xzibit shall come and break down humanity  
Niggas lose ther're sanity  
Trying to handle me  
Dysfunctional member of the Alkaholik family  
  
  
  

"
Alice In Chains,Brother,/a/alice+in+chains/brother_20005914.html,"  
  
  
Frozen in the place I hide  
Not afraid to paint my sky with  
Some who say I've lost my mind  
Brother try and hope to find  
You were always so far away  
I know that pain so don't you run away  
Like you used to do  
Roses in a vase of white  
Bloodied by the thorns beside the leaves  
That fall because my hand is pulling them hard as I can  
You were always so far away  
I know that pain and I won't run away  
Like I used to do  
Pictures in a box at home  
Yellowing and green with mold  
So I can barely see your face  
Wonder how that color taste  
You were always so far away  
I know the way so don't you run away  
Like you used to do  
Like you used to do  
  

"
Violent Femmes,He Likes Me,/v/violent+femmes/he+likes+me_20144660.html,"  
  
  
He likes me  
  
he likes me  
  
ooh... isn't that nice  
  
he likes me  
  
he likes me  
  
ooh... isn't that nice  
  
that your brand new friend  
  
he likes your old true friend  
  
and isn't that the way  
  
that it ought to be  
  
that your brand new friend  
  
he has good will to send  
  
and you're so free  
  
you're so free  
  
you're so free  
  
and I am history  
  
he likes you  
  
he says that he loves you  
  
ooh that's good to know  
  
you like him  
  
I hope you don't love him  
  
and ooh you should know  
  
that your old true friend  
  
he doesn't like your brand new friend  
  
person to person it's not on purpose  
  
but I take it personally  
  
and soon your brand new friend  
  
I hope I'll have a bon voyage to send  
  
and you're so free  
  
you're so free  
  
you're so free  
  
and I am history  
  
you say you won't pick  
  
and you won't make a choice  
  
but I'm so mad I could spit  
  
and I hear it in your voice  
  
you said he likes me  
  
he likes me  
  
ooh isn't that swell  
  
he likes me  
  
you said he likes me  
  
ohhh tell him hell...  
  
o from me  
  
a great big hello from me  
  
jesus always taught me  
  
that I should love my enemy  
  
darling my heart's in pain  
  
that's why my song's insane  
  
and you're so free  
  
and I am history  
  
he likes me  
  
but I don't like him  

"
